User	Sample number	Sample name	Barcode	Lane	read1	read2
Jackie	3	GV04_GG1	3	1	E200013140_L01_SB-3_1.fq.gz	E200013140_L01_SB-3_2.fq.gz
Jackie	4	GV04_GG2	4	1	E200013140_L01_SB-4_1.fq.gz	E200013140_L01_SB-4_2.fq.gz
Jackie	5	GV02_EVC1	13	1	E200013140_L01_SB-13_1.fq.gz	E200013140_L01_SB-13_2.fq.gz
Jackie	6	GV02_EVC2	14	1	E200013140_L01_SB-14_1.fq.gz	E200013140_L01_SB-14_2.fq.gz
Jackie	7	GV02_EVC3	15	1	E200013140_L01_SB-15_1.fq.gz	E200013140_L01_SB-15_2.fq.gz
Jackie	8	GV02_KO12	16	1	E200013140_L01_SB-16_1.fq.gz	E200013140_L01_SB-16_2.fq.gz
Jackie	9	GV02_KO19	82	1	E200013140_L01_SB-82_1.fq.gz	E200013140_L01_SB-82_2.fq.gz
Jackie	10	GV02_KO22	42	1	E200013140_L01_SB-42_1.fq.gz	E200013140_L01_SB-42_2.fq.gz
Jackie	11	GV02_KO28	83	1	E200013140_L01_SB-83_1.fq.gz	E200013140_L01_SB-83_2.fq.gz
Jackie	12	GV02_KO37	44	1	E200013140_L01_SB-44_1.fq.gz	E200013140_L01_SB-44_2.fq.gz
Jackie	13	GV02_CV21	57	1	E200013140_L01_SB-57_1.fq.gz	E200013140_L01_SB-57_2.fq.gz
Jackie	14	GV02_CV29	46	1	E200013140_L01_SB-46_1.fq.gz	E200013140_L01_SB-46_2.fq.gz
Jackie	15	GV02_CV38	84	1	E200013140_L01_SB-84_1.fq.gz	E200013140_L01_SB-84_2.fq.gz
Jackie	16	GV02_CV43	48	1	E200013140_L01_SB-48_1.fq.gz	E200013140_L01_SB-48_2.fq.gz
Jackie	17	GV02_CV48	45	1	E200013140_L01_SB-45_1.fq.gz	E200013140_L01_SB-45_2.fq.gz
Jackie	18	GV02_CV56	58	1	E200013140_L01_SB-58_1.fq.gz	E200013140_L01_SB-58_2.fq.gz
Jackie	19	GV02_CV57	59	1	E200013140_L01_SB-59_1.fq.gz	E200013140_L01_SB-59_2.fq.gz
